technology,minor_fraction,error_rate,min_freq,p_threshold,nominal_depth,mean_coverage,true_minor_sites,raw_minor_present,retained_minor_sites,error_allele_sites,nonvariant_callable,median_observed_minor_fraction
illumina_HS25,0.01,0.001,0.01,0.05,300,301.09472222222223,180,168,71,3,17820,0.0090368824570158
illumina_HS25,0.01,0.001,0.01,1e-06,300,301.09472222222223,180,168,29,0,17820,0.0090368824570158
illumina_HS25,0.05,0.001,0.01,0.05,300,300.123,180,180,180,2,17820,0.0476948741279951
illumina_HS25,0.05,0.001,0.01,1e-06,300,300.123,180,180,179,0,17820,0.0476948741279951
illumina_HS25,0.1,0.001,0.01,0.05,300,299.0417777777778,180,180,180,3,17820,0.0951600312256049
illumina_HS25,0.1,0.001,0.01,1e-06,300,299.0417777777778,180,180,180,0,17820,0.0951600312256049
ont_Q20,0.01,0.001,0.01,0.05,300,300.33844444444446,180,178,84,125,17820,0.0098039215686274
ont_Q20,0.01,0.001,0.01,1e-06,300,300.33844444444446,180,178,26,15,17820,0.0098039215686274
ont_Q20,0.05,0.001,0.01,0.05,300,302.4423888888889,180,180,180,118,17820,0.0560868718348266
ont_Q20,0.05,0.001,0.01,1e-06,300,302.4423888888889,180,180,180,16,17820,0.0560868718348266
ont_Q20,0.1,0.001,0.01,0.05,300,303.2135,180,180,180,115,17820,0.1069035933077777
ont_Q20,0.1,0.001,0.01,1e-06,300,303.2135,180,180,180,17,17820,0.1069035933077777
ont_Q25,0.01,0.001,0.01,0.05,300,310.7552777777778,180,166,34,5,17820,0.0060331962290248
ont_Q25,0.01,0.001,0.01,1e-06,300,310.7552777777778,180,166,8,0,17820,0.0060331962290248
ont_Q25,0.05,0.001,0.01,0.05,300,312.7245,180,180,180,4,17820,0.0458016334750503
ont_Q25,0.05,0.001,0.01,1e-06,300,312.7245,180,180,180,0,17820,0.0458016334750503
ont_Q25,0.1,0.001,0.01,0.05,300,314.45233333333334,180,180,180,5,17820,0.1049308448254943
ont_Q25,0.1,0.001,0.01,1e-06,300,314.45233333333334,180,180,180,0,17820,0.1049308448254943
