technology,nominal_depth,error_rate,min_freq,p_threshold,seed,kind,sites,callable_sites,raw_joint_cov5,true_differences,true_diff_callable,recovered_differences,masked_differences,uncallable_differences,false_differences,same_callable,popani,true_ani_callable
illumina_HS25,10,0.001,0.0,0.05,11,different,18000,17051,17051,180,171,171,0,9,0,16880,98.99712626825406,98.99712626825406
illumina_HS25,10,0.001,0.0,0.05,29,different,18000,17208,17208,180,170,166,4,10,0,17038,99.03533240353325,99.01208740120872
illumina_HS25,10,0.001,0.0,0.05,0,identical_A,18000,16989,16989,0,0,0,0,0,0,16989,100.0,100.0
illumina_HS25,10,0.001,0.0,0.05,0,identical_B,18000,17273,17273,0,0,0,0,0,0,17273,100.0,100.0
illumina_HS25,10,0.001,0.0,1e-06,11,different,18000,17047,17051,180,171,171,0,9,0,16876,98.996890948554,98.996890948554
illumina_HS25,10,0.001,0.0,1e-06,29,different,18000,17202,17208,180,169,169,0,11,0,17033,99.01755609812813,99.01755609812813
illumina_HS25,10,0.001,0.0,1e-06,0,identical_A,18000,16982,16989,0,0,0,0,0,0,16982,100.0,100.0
illumina_HS25,10,0.001,0.0,1e-06,0,identical_B,18000,17270,17273,0,0,0,0,0,0,17270,100.0,100.0
illumina_HS25,10,0.001,0.01,0.05,11,different,18000,17051,17051,180,171,171,0,9,0,16880,98.99712626825406,98.99712626825406
illumina_HS25,10,0.001,0.01,0.05,29,different,18000,17208,17208,180,170,166,4,10,0,17038,99.03533240353325,99.01208740120872
illumina_HS25,10,0.001,0.01,0.05,0,identical_A,18000,16989,16989,0,0,0,0,0,0,16989,100.0,100.0
illumina_HS25,10,0.001,0.01,0.05,0,identical_B,18000,17273,17273,0,0,0,0,0,0,17273,100.0,100.0
illumina_HS25,10,0.001,0.01,1e-06,11,different,18000,17047,17051,180,171,171,0,9,0,16876,98.996890948554,98.996890948554
illumina_HS25,10,0.001,0.01,1e-06,29,different,18000,17202,17208,180,169,169,0,11,0,17033,99.01755609812813,99.01755609812813
illumina_HS25,10,0.001,0.01,1e-06,0,identical_A,18000,16982,16989,0,0,0,0,0,0,16982,100.0,100.0
illumina_HS25,10,0.001,0.01,1e-06,0,identical_B,18000,17270,17273,0,0,0,0,0,0,17270,100.0,100.0
illumina_HS25,30,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,179,1,0,0,17820,99.00555555555556,99.0
illumina_HS25,30,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,175,5,0,0,17820,99.0277777777778,99.0
illumina_HS25,30,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,30,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,30,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,30,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,30,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,30,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,30,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,179,1,0,0,17820,99.00555555555556,99.0
illumina_HS25,30,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,175,5,0,0,17820,99.0277777777778,99.0
illumina_HS25,30,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,30,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,30,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,30,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
